track,stored_sector,offset_hex,sha256,entropy,zero_bytes,high_bit_bytes,distinct_bytes
0,0,0x00000,3aa2e4b102955e8c18e192885d8e95b56b748b46033afa899523b62a531c2eea,5.707985,36,134,88
0,1,0x00100,744dfeaa7146a8a28f77430fbb222fed2f38a10ea44f07a88be9d19d57652d69,5.673982,17,173,77
0,2,0x00200,8b41294da8f3a551712e9c4dee6e35aa42877fe27ef2d874cce25374013a63f2,5.717153,9,165,80
0,3,0x00300,b90a7c16a28661b08c796c32d9ffd895b343ce22cb5db1b9fc50a4801eac5470,6.781474,3,127,144
0,4,0x00400,35aeae2391eebe1403c39a58964620247381808befb944408a6c475b305730a3,6.338279,7,125,105
0,5,0x00500,553400bc1f64b20705ee2fbea6d7a9ec7d988891f1f104d3fdc7d41b650b1dae,6.576587,14,135,127
0,6,0x00600,c679a3413aff806c74e0e2e06a8896621bf534a8c16934357d19d902e3eaa8df,5.347432,79,100,114
0,7,0x00700,e5364422f28f142cacfb45eb74146ce70b88e7ac170787b5cf2e293a21762550,5.204118,80,62,107
0,8,0x00800,3f9c2e9f4511afe6885082cbb83e37ab5d88f624d5d46b86d10d023d7f1eb32e,5.391753,74,105,114
0,9,0x00900,c056f44c5f60b46594367deab8ae8a745030488a4e975e005f5e5420b72a5829,5.313059,85,93,115
0,10,0x00a00,a2fe9834ad281f88df0b1aa4a3654bc7bbdce3cd055edd2e5f0da4316ffe1f0f,5.136416,93,84,110
0,11,0x00b00,44bbca4de37832252626e10b0bd1d20856d49236d64fe7f2b7a66e100a0e5e72,5.265914,87,79,118
0,12,0x00c00,f634c29fcf09b62b1e5664b02a7ec0b5b6d9ca68d13bd02e03cdd2934cc7bedc,5.207138,88,59,111
0,13,0x00d00,bad99b9f79d3d752744e73aafd8bed71d3b5263bf9131d6dd29e23bd8c117ca7,5.383363,86,94,125
0,14,0x00e00,6865f9c285dcc3968cebcea2abb45e4d51ddd40a71ff80b2c2abfc0c727476f9,5.325668,87,85,120
0,15,0x00f00,8d2b1e5196e7afd2f4a11c88aed7a63acd22a54e5827879de58a361bf3d55c55,4.724166,0,222,50
1,0,0x01000,24daa89cbdc84a648ad73fc86d0165f91f47213a0552b66b574dd1c17984e809,5.594517,26,130,75
1,1,0x01100,7ac50e7ab4620c9a64013963c212c1b6871550f3b8531d612bdf970daa7d7aca,5.351532,38,96,72
1,2,0x01200,5592873ae2f9b58c5227966113bf3321d76fba4d572b941b5b6e69b718ad4f13,5.583180,24,102,77
1,3,0x01300,e4778c150277b55f08658b7f909a0b13d219ceffa6f1cf3f89bef8b2a8c21c76,5.505272,21,93,78
1,4,0x01400,ff23c22e38b4e5079fa5869ecdf3b160d55231b47a3a9f7ab7d39ef9e4dbf546,5.317828,19,81,69
1,5,0x01500,d62704828a76280079bea1b47e612e70c35b22abcb99fe016e9536f5a443bd0f,5.333157,29,107,66
1,6,0x01600,9ee3eb713bbd09d3aa5fcd3cf2b60cfe8683657cd365c8c8a09bd42e180c030b,5.526945,34,125,75
1,7,0x01700,29f9b13d0a35ac0cbe4cc7522c62923d5e0aae094cf3a3d979cccc51ec7683ba,5.573351,21,135,67
1,8,0x01800,95eb4a7d63f409fb8055ce7ca6fcb22762e4a4bf0e0fc18b83c0f5bf984a832b,5.434962,41,120,72
1,9,0x01900,d692856c1be243b877484af08fd5d9f53c4d4d1f67969901b7b8b3f7eb058b93,5.694612,33,160,85
1,10,0x01a00,bae9d9949142f6fbd663cd15b17523acbd1039fffee5bdac6520008720cd13f7,5.702892,19,169,85
1,11,0x01b00,9697fba38e3afa5036b9263bf86af8d8623bfff53ef14c995ef48b8de1e39f3b,5.606573,34,125,79
1,12,0x01c00,fd1222ba80c72d70f1f7035616085e2bc2b437e5f45b414ea037ca4aeedf36ff,5.257737,46,91,72
1,13,0x01d00,ec17745642366e49202555fed44ef97767da20ab119566807872ea8681d219b0,5.360870,26,93,72
1,14,0x01e00,ecb52ff3c16f5a35642148a1f3c5b3cf093644862203da31699bf7acda3334d0,5.380254,19,90,71
1,15,0x01f00,75a5521819e3250dc8ede472c2d5ade52c7790c177c7a5d7af49bdfbf1882b65,5.121820,26,84,66
2,0,0x02000,c4d248913236f9d7ffe49fd573498a5e156e0cd9f72dc2c743596d3094801d56,5.411832,28,126,68
2,1,0x02100,f3b787b7dabe4e6c320ce7656441fa5d5bc2519c3746ad8319ea0c0a069fa3b1,5.570991,24,115,76
2,2,0x02200,0f4f9e27fce6d425a451dfa0c9fa8f01e0dd6f3eea58adbc09c9c51d4904583a,5.557311,28,116,69
2,3,0x02300,b54bbac68fda8cf376d616963846e1e8ec1a79885a9846058d72c91d252ace3e,5.639111,36,130,83
